Topic,TimeQueried,Video_Title,Video_ID,Published_AT,Duration,ViewCount,LikeCount,DislikeCount,favoriteCount,Definition,Caption,Zscore_Trend,Score
Machine Learning,2020-08-22 0:45:34,Linear Regression Analysis | Linear Regression in Python | Machine Learning Algorithms | Simplilearn,NUXdtN1W1FE,2018-03-26T14:39:17Z,2146,154306,2035,47,0,hd,False,1,1.0043027690000002
Machine Learning,2020-08-22 18:04:41,Getting Started with Weka - Machine Learning Recipes #10,TF1yh5PKaqI,2018-02-22T19:49:42Z,564,142204,1786,31,0,hd,True,0,1.004170292
Machine Learning,2020-08-22 0:45:34,Machine Learning Algorithms | Machine Learning Tutorial | Data Science Algorithms | Simplilearn,I7NrVwm3apg,2018-03-21T14:01:21Z,4265,137017,2161,40,0,hd,False,1,1.004131066
Machine Learning,2020-08-22 0:45:34,The Deep Learning Revolution,Dy0hJWltsyE,2016-06-09T22:52:25Z,156,143678,2436,57,0,hd,False,1,1.004127846
Machine Learning,2020-08-22 0:45:34,Active (Machine) Learning - Computerphile,ANIw1Mz1SRI,2019-04-05T12:21:11Z,371,87168,3019,22,0,hd,False,1,1.003967404
Machine Learning,2020-08-22 0:45:34,Ilya Sutskever: Deep Learning | Lex Fridman Podcast #94,13CZPWmke6A,2020-05-08T21:12:38Z,5848,95736,3250,44,0,hd,False,1,1.003866055
Machine Learning,2020-08-22 0:45:34,Decision Tree Algorithm | Decision Tree in Python | Machine Learning Algorithms | Edureka,qDcl-FRnwSU,2018-06-14T13:01:33Z,2798,227146,2506,164,0,hd,False,1,1.003850945
Machine Learning,2020-08-22 0:45:34,Machine Learning In 5 Minutes | Machine Learning Introduction |What Is Machine Learning |Simplilearn,-DEL6SVRPw0,2019-02-19T15:25:57Z,278,152901,436,11,0,hd,False,1,1.0038403340000002
Machine Learning,2020-08-22 0:45:34,Machine Learning: Google&#39;s Vision - Google I/O 2016,Rnm83GqgqPE,2016-05-20T19:11:16Z,2685,154390,1023,36,0,hd,True,0,1.0037720970000001
Machine Learning,2020-08-22 0:45:34,"Deep learning - Yann LeCun, à l&#39;USI",RgUcQceqC_Y,2015-07-13T14:50:44Z,2653,167165,1355,62,0,hd,False,1,1.003762601
